    [2026-05-15 11:28:31] Baseline Saved
[2026-05-15 11:28:39] ADDED: cell phone
[2026-05-15 11:28:48] REMOVED: cell phone
[2026-05-15 11:51:30] Baseline Saved
[2026-05-15 11:52:03] Evidence Sent
[2026-05-15 11:52:48] Baseline Saved
[2026-05-15 11:52:51] Evidence Sent
[2026-05-15 11:52:58] Evidence Sent
[2026-05-15 12:01:03] Baseline Saved
[2026-05-15 12:01:15] ADDED: person x2
[2026-05-15 12:01:16] ADDED: cell phone
[2026-05-15 12:01:20] REMOVED: cell phone
[2026-05-15 12:01:20] ADDED: person x3
[2026-05-15 12:01:29] REMOVED: person
[2026-05-15 12:02:39] Baseline Saved
[2026-05-15 12:02:45] REMOVED: person x2
[2026-05-15 12:02:46] ADDED: chair
[2026-05-15 12:02:55] ADDED: bench
[2026-05-15 12:02:56] REMOVED: person
[2026-05-15 12:02:56] REMOVED: chair
[2026-05-15 12:02:58] REMOVED: bench
[2026-05-15 12:03:02] ADDED: person
[2026-05-15 12:03:06] ADDED: chair x2
[2026-05-15 12:03:14] REMOVED: chair
[2026-05-15 12:03:15] Evidence Sent
[2026-05-15 12:03:18] ADDED: person x2
[2026-05-15 12:03:19] ADDED: chair x2
[2026-05-15 12:03:22] REMOVED: person
[2026-05-15 12:03:22] REMOVED: chair x2
[2026-05-15 12:03:31] ADDED: person x3
[2026-05-15 12:03:33] REMOVED: person
[2026-05-15 12:03:34] ADDED: chair
[2026-05-15 12:03:36] REMOVED: chair
[2026-05-15 12:04:46] ADDED: chair
[2026-05-15 12:04:59] REMOVED: chair
[2026-05-15 12:05:01] ADDED: chair
[2026-05-15 12:05:28] REMOVED: chair
[2026-05-15 12:05:31] REMOVED: person
[2026-05-15 12:26:04] Baseline Saved
[2026-05-15 12:26:37] ADDED: cell phone
[2026-05-15 12:26:45] REMOVED: person
[2026-05-15 12:26:47] ADDED: person
[2026-05-15 12:26:50] REMOVED: person
[2026-05-15 12:26:53] ADDED: person
[2026-05-15 12:34:55] SYSTEM START     | —          | —                    | Surveillance system initialized
[2026-05-15 12:34:57] RETURNED         | P1         | Intruder-P1          | Visit #2
[2026-05-15 12:35:00] BASELINE         | —          | —                    | Baseline snapshot saved
[2026-05-15 12:35:09] OBJ ADDED        | —          | cell phone           | 0 → 1
[2026-05-15 12:35:27] LEFT             | P1         | Intruder-P1          | Last seen 12:35:27
[2026-05-15 12:35:27] RETURNED         | P1         | Intruder-P1          | Visit #43
[2026-05-15 12:35:36] SYSTEM STOP      | —          | —                    | Surveillance session ended
[2026-05-15 12:41:29] SYSTEM START     | —          | —                    | Surveillance system initialized
[2026-05-15 12:41:31] ENTERED          | P2         | Prajan               | Visit #1
[2026-05-15 12:41:34] BASELINE         | —          | —                    | Baseline snapshot saved
[2026-05-15 12:41:40] RETURNED         | P1         | Intruder-P1          | Visit #58
[2026-05-15 12:41:43] SYSTEM STOP      | —          | —                    | Surveillance session ended
[2026-05-15 12:42:46] SYSTEM START     | —          | —                    | Surveillance system initialized
[2026-05-15 12:42:48] RETURNED         | P2         | Prajan               | Visit #19
[2026-05-15 12:42:50] RETURNED         | P1         | Intruder-P1          | Visit #60
[2026-05-15 12:42:51] BASELINE         | —          | —                    | Baseline snapshot saved
[2026-05-15 12:42:56] LEFT             | P1         | Intruder-P1          | Last seen 12:42:56
[2026-05-15 12:43:00] RETURNED         | P1         | Intruder-P1          | Visit #62
[2026-05-15 12:43:04] LEFT             | P1         | Intruder-P1          | Last seen 12:43:04
[2026-05-15 12:43:19] RETURNED         | P1         | Intruder-P1          | Visit #63
[2026-05-15 12:43:20] SYSTEM STOP      | —          | —                    | Surveillance session ended
[2026-05-15 12:50:48] SYSTEM START     | —          | —                    | Surveillance system initialized
[2026-05-15 12:50:51] RETURNED         | P2         | Prajan               | Visit #63
[2026-05-15 12:50:52] RETURNED         | P3         | Intruder-P3          | Visit #2
[2026-05-15 12:50:53] BASELINE         | —          | —                    | Baseline snapshot saved
[2026-05-15 12:51:03] SYSTEM STOP      | —          | —                    | Surveillance session ended
[2026-05-15 12:52:37] SYSTEM START     | —          | —                    | Surveillance system initialized
[2026-05-15 12:52:42] BASELINE         | —          | —                    | Baseline snapshot saved
[2026-05-15 12:52:48] RETURNED         | P2         | Prajan               | Visit #75
[2026-05-15 12:52:48] OBJ REMOVED      | —          | person               | 2 → 1
[2026-05-15 12:52:52] LEFT             | P2         | Prajan               | Last seen 12:52:52
[2026-05-15 12:53:26] RETURNED         | P2         | Prajan               | Visit #77
[2026-05-15 12:53:26] RETURNED         | P1         | Intruder-P1          | Visit #64
[2026-05-15 12:53:32] LEFT             | P1         | Intruder-P1          | Last seen 12:53:32
[2026-05-15 12:53:33] RETURNED         | P4         | Intruder-P4          | Visit #2
[2026-05-15 12:53:33] LEFT             | P2         | Prajan               | Last seen 12:53:33
[2026-05-15 12:53:37] RETURNED         | P2         | Prajan               | Visit #81
[2026-05-15 12:53:38] LEFT             | P4         | Intruder-P4          | Last seen 12:53:38
[2026-05-15 12:53:39] RETURNED         | P5         | Intruder-P5          | Visit #2
[2026-05-15 12:53:39] OBJ ADDED        | —          | person x2            | 1 → 2
[2026-05-15 12:53:41] OBJ REMOVED      | —          | person               | 2 → 1
[2026-05-15 12:53:43] LEFT             | P2         | Prajan               | Last seen 12:53:43
[2026-05-15 12:53:47] RETURNED         | P6         | Intruder-P6          | Visit #2
[2026-05-15 12:53:47] OBJ ADDED        | —          | person x2            | 1 → 2
[2026-05-15 12:53:52] LEFT             | P6         | Intruder-P6          | Last seen 12:53:52
[2026-05-15 12:54:01] RETURNED         | P6         | Intruder-P6          | Visit #3
[2026-05-15 12:54:03] RETURNED         | P7         | Intruder-P7          | Visit #2
[2026-05-15 12:54:04] RETURNED         | P2         | Prajan               | Visit #83
[2026-05-15 12:54:04] RETURNED         | P4         | Intruder-P4          | Visit #3
[2026-05-15 12:54:05] OBJ ADDED        | —          | person x3            | 2 → 3
[2026-05-15 12:54:06] LEFT             | P6         | Intruder-P6          | Last seen 12:54:06
[2026-05-15 12:54:09] LEFT             | P2         | Prajan               | Last seen 12:54:09
[2026-05-15 12:54:10] LEFT             | P7         | Intruder-P7          | Last seen 12:54:10
[2026-05-15 12:54:11] LEFT             | P4         | Intruder-P4          | Last seen 12:54:11
[2026-05-15 12:54:14] RETURNED         | P7         | Intruder-P7          | Visit #4
[2026-05-15 12:54:27] LEFT             | P5         | Intruder-P5          | Last seen 12:54:27
[2026-05-15 12:54:27] OBJ REMOVED      | —          | person               | 3 → 2
[2026-05-15 12:54:29] RETURNED         | P6         | Intruder-P6          | Visit #4
[2026-05-15 12:54:32] LEFT             | P7         | Intruder-P7          | Last seen 12:54:32
[2026-05-15 12:54:32] OBJ ADDED        | —          | person x3            | 2 → 3
[2026-05-15 12:54:37] RETURNED         | P5         | Intruder-P5          | Visit #55
[2026-05-15 12:54:41] RETURNED         | P2         | Prajan               | Visit #85
[2026-05-15 12:54:44] LEFT             | P5         | Intruder-P5          | Last seen 12:54:44
[2026-05-15 12:54:46] LEFT             | P2         | Prajan               | Last seen 12:54:46
[2026-05-15 12:54:51] OBJ REMOVED      | —          | person               | 3 → 2
[2026-05-15 12:54:54] OBJ ADDED        | —          | person x3            | 2 → 3
[2026-05-15 12:55:03] RETURNED         | P7         | Intruder-P7          | Visit #19
[2026-05-15 12:55:07] LEFT             | P6         | Intruder-P6          | Last seen 12:55:07
[2026-05-15 12:55:08] LEFT             | P7         | Intruder-P7          | Last seen 12:55:08
[2026-05-15 12:55:13] RETURNED         | P6         | Intruder-P6          | Visit #45
[2026-05-15 12:55:16] OBJ REMOVED      | —          | person               | 3 → 2
[2026-05-15 12:55:18] LEFT             | P6         | Intruder-P6          | Last seen 12:55:18
[2026-05-15 12:55:22] OBJ ADDED        | —          | person x3            | 2 → 3
[2026-05-15 12:55:23] RETURNED         | P6         | Intruder-P6          | Visit #46
[2026-05-15 12:55:30] OBJ REMOVED      | —          | person               | 3 → 2
[2026-05-15 12:55:41] OBJ ADDED        | —          | person x3            | 2 → 3
[2026-05-15 12:55:48] LEFT             | P6         | Intruder-P6          | Last seen 12:55:48
[2026-05-15 12:55:51] RETURNED         | P7         | Intruder-P7          | Visit #20
[2026-05-15 12:55:51] RETURNED         | P2         | Prajan               | Visit #87
[2026-05-15 12:55:52] RETURNED         | P1         | Intruder-P1          | Visit #66
[2026-05-15 12:55:55] RETURNED         | P6         | Intruder-P6          | Visit #64
[2026-05-15 12:55:55] LEFT             | P2         | Prajan               | Last seen 12:55:55
[2026-05-15 12:55:57] RETURNED         | P4         | Intruder-P4          | Visit #5
[2026-05-15 12:55:57] LEFT             | P1         | Intruder-P1          | Last seen 12:55:57
[2026-05-15 12:55:59] LEFT             | P6         | Intruder-P6          | Last seen 12:55:59
[2026-05-15 12:56:00] LEFT             | P7         | Intruder-P7          | Last seen 12:56:00
[2026-05-15 12:56:01] LEFT             | P4         | Intruder-P4          | Last seen 12:56:01
[2026-05-15 12:56:08] RETURNED         | P7         | Intruder-P7          | Visit #23
[2026-05-15 12:56:11] RETURNED         | P4         | Intruder-P4          | Visit #6
[2026-05-15 12:56:12] RETURNED         | P6         | Intruder-P6          | Visit #65
[2026-05-15 12:56:12] LEFT             | P7         | Intruder-P7          | Last seen 12:56:12
[2026-05-15 12:56:15] LEFT             | P4         | Intruder-P4          | Last seen 12:56:15
[2026-05-15 12:56:16] RETURNED         | P7         | Intruder-P7          | Visit #24
[2026-05-15 12:56:21] LEFT             | P7         | Intruder-P7          | Last seen 12:56:21
[2026-05-15 12:56:38] LEFT             | P6         | Intruder-P6          | Last seen 12:56:38
[2026-05-15 12:56:43] RETURNED         | P6         | Intruder-P6          | Visit #85
[2026-05-15 12:57:08] LEFT             | P6         | Intruder-P6          | Last seen 12:57:08
[2026-05-15 12:57:15] RETURNED         | P7         | Intruder-P7          | Visit #26
